sample_id,image_file,side,roi_name,object_id,centroid_x,centroid_y,area_px,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,region
demo_image,demo_image.tif,right,CPu_R,90,5459.25488997555,2056.617359413203,1636,2026,5436,2087,5483,dorsal
demo_image,demo_image.tif,right,CPu_R,91,5863.091228070175,2047.7602339181287,855,2026,5852,2073,5877,dorsal
demo_image,demo_image.tif,right,CPu_R,93,5818.092568448501,2052.767926988266,767,2035,5802,2074,5838,dorsal
demo_image,demo_image.tif,right,CPu_R,94,5520.881221719457,2072.736425339366,1768,2036,5498,2111,5551,dorsal
demo_image,demo_image.tif,right,CPu_R,95,5718.027415143603,2062.921671018277,766,2039,5707,2084,5729,dorsal
demo_image,demo_image.tif,right,CPu_R,96,5886.023598820059,2057.1725663716816,678,2045,5868,2072,5905,dorsal
demo_image,demo_image.tif,right,CPu_R,98,5341.135633551457,2072.1641879833433,1681,2046,5319,2101,5364,dorsal
demo_image,demo_image.tif,right,CPu_R,100,5634.344344344345,2078.56006006006,1998,2048,5607,2111,5663,dorsal
demo_image,demo_image.tif,right,CPu_R,101,5746.323237885463,2085.7924008810573,1816,2048,5727,2120,5767,dorsal
demo_image,demo_image.tif,right,CPu_R,103,5926.018301610542,2093.2064421669106,2732,2050,5904,2132,5949,dorsal
demo_image,demo_image.tif,right,CPu_R,104,5577.632127192983,2086.8974780701756,1824,2053,5551,2120,5608,dorsal
demo_image,demo_image.tif,right,CPu_R,105,5216.561324823185,2114.5000862515094,5797,2062,5166,2165,5272,dorsal
demo_image,demo_image.tif,right,CPu_R,107,5617.129378127233,2107.2458899213725,1399,2072,5602,2140,5636,dorsal
demo_image,demo_image.tif,right,CPu_R,108,4869.785416666667,2098.815972222222,1440,2073,4849,2129,4888,dorsal
demo_image,demo_image.tif,right,CPu_R,111,5471.873510540789,2101.7910174152153,1091,2081,5453,2132,5490,dorsal
demo_image,demo_image.tif,right,CPu_R,112,5087.712181303116,2143.045325779037,5295,2089,5046,2195,5131,dorsal
demo_image,demo_image.tif,right,CPu_R,114,4788.8437200383505,2110.9453499520614,1043,2090,4770,2133,4807,dorsal
demo_image,demo_image.tif,right,CPu_R,115,5310.963005780347,2117.9959537572254,1730,2090,5291,2145,5335,dorsal
demo_image,demo_image.tif,right,CPu_R,116,5446.494855625622,2127.7271822104217,3013,2091,5408,2167,5481,dorsal
demo_image,demo_image.tif,right,CPu_R,118,4903.983853006682,2134.6319599109133,1796,2098,4887,2169,4923,dorsal
demo_image,demo_image.tif,right,CPu_R,119,5645.628726287263,2125.762872628726,738,2099,5629,2153,5661,dorsal
demo_image,demo_image.tif,right,CPu_R,120,4754.438832772166,2114.5364758698092,891,2102,4733,2128,4776,dorsal
demo_image,demo_image.tif,right,CPu_R,122,4958.465699208443,2161.868073878628,3032,2104,4939,2212,4981,dorsal
demo_image,demo_image.tif,right,CPu_R,123,5691.710022953328,2127.7490436113235,1307,2104,5670,2150,5718,dorsal
demo_image,demo_image.tif,right,CPu_R,126,5744.509375,2136.3359375,1280,2109,5729,2164,5761,dorsal
demo_image,demo_image.tif,right,CPu_R,127,5394.4807692307695,2147.13595706619,2236,2112,5364,2184,5423,dorsal
demo_image,demo_image.tif,right,CPu_R,128,5016.190900098912,2153.9441147378834,2022,2116,4991,2193,5042,dorsal
demo_image,demo_image.tif,right,CPu_R,130,6051.523137254902,2140.0635294117646,1275,2117,6031,2160,6076,dorsal
demo_image,demo_image.tif,right,CPu_R,131,5501.13185483871,2154.9548387096775,2480,2118,5475,2198,5528,dorsal
demo_image,demo_image.tif,right,CPu_R,132,5782.1799324650265,2158.534973468403,2073,2118,5766,2200,5799,dorsal
demo_image,demo_image.tif,right,CPu_R,133,5174.55929304447,2162.4301596351197,3508,2120,5147,2200,5209,dorsal
demo_image,demo_image.tif,right,CPu_R,135,4881.020987654321,2140.3913580246913,810,2122,4866,2160,4895,dorsal
demo_image,demo_image.tif,right,CPu_R,136,5035.325499412456,2144.1198589894243,851,2124,5022,2165,5052,dorsal
demo_image,demo_image.tif,right,CPu_R,137,5678.921221864952,2172.756028938906,2488,2126,5658,2215,5705,dorsal
demo_image,demo_image.tif,right,CPu_R,138,4785.523076923077,2138.2923076923075,325,2127,4777,2150,4795,dorsal
demo_image,demo_image.tif,right,CPu_R,139,5887.347651006711,2157.612080536913,745,2132,5873,2185,5901,dorsal
demo_image,demo_image.tif,right,CPu_R,140,5867.1069230769235,2163.9553846153844,1300,2133,5851,2193,5883,dorsal
demo_image,demo_image.tif,right,CPu_R,141,5634.782961460446,2156.5943204868154,986,2136,5617,2175,5659,dorsal
demo_image,demo_image.tif,right,CPu_R,142,5987.275362318841,2153.1666666666665,552,2136,5973,2173,6000,dorsal
demo_image,demo_image.tif,right,CPu_R,146,5579.917511832319,2170.0797836375928,1479,2141,5554,2202,5604,dorsal
demo_image,demo_image.tif,right,CPu_R,148,5720.661056883204,2193.398519017166,2971,2144,5686,2240,5755,dorsal
demo_image,demo_image.tif,right,CPu_R,149,4841.048465729854,2187.2142242615428,3487,2147,4812,2233,4876,dorsal
demo_image,demo_image.tif,right,CPu_R,150,5533.081251975972,2200.623458741701,3163,2150,5501,2242,5559,dorsal
demo_image,demo_image.tif,right,CPu_R,151,5938.39927184466,2182.4296116504856,1648,2150,5923,2212,5958,dorsal
demo_image,demo_image.tif,right,CPu_R,153,4877.694444444444,2178.8814814814814,1080,2155,4864,2207,4891,dorsal
demo_image,demo_image.tif,right,CPu_R,154,5232.004191616767,2194.505389221557,1670,2156,5205,2235,5264,dorsal
demo_image,demo_image.tif,right,CPu_R,158,5308.390107526881,2196.736774193548,2325,2168,5285,2228,5338,dorsal
demo_image,demo_image.tif,right,CPu_R,159,4906.104026845637,2191.1459731543623,1192,2169,4892,2217,4922,dorsal
demo_image,demo_image.tif,right,CPu_R,161,6011.258805513017,2183.4977029096476,653,2171,5992,2196,6033,dorsal
demo_image,demo_image.tif,right,CPu_R,162,5464.247814910026,2212.2971722365037,1945,2173,5447,2252,5487,dorsal
